Timestep,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
13920.0,0.0,12.0,108.16,25.5,0.0,24.009999999999998,91.74000000000001,217.55,178.66,12.0,55.51,255.03,171.01000000000002,136.64,57.07,34.5,186.04999999999998,127.64,117.82,13.51,0.0,0.0,186.44,100.64,0.0
13940.0,0.0,60.0,241.78,46.5,0.0,91.52000000000001,135.04000000000002,225.14,358.71000000000004,46.5,70.50999999999999,231.2,200.88,186.22,130.62,42.01,253.63,126.00999999999999,140.31,61.51,0.0,12.0,223.45,136.51999999999998,0.0
13960.0,0.0,47.150000000000006,273.03999999999996,19.5,0.0,20.11,72.24,123.37,261.11,57.129999999999995,12.0,132.14,127.69,108.27,118.52,13.5,109.76,76.52000000000001,99.10999999999999,0.0,0.0,0.0,130.51999999999998,174.03,0.0
13980.0,0.0,78.02,301.54,27.0,0.0,6.0,60.02,232.54,178.51,63.04,86.08,262.61,208.60999999999999,171.08999999999997,21.0,13.5,157.51,165.03,129.03,25.5,0.0,12.0,123.6,90.61999999999999,0.0
14000.0,0.0,73.51,75.68,25.580000000000002,0.0,0.0,97.57000000000001,298.64000000000004,129.02,78.01,33.01,243.04,250.69,141.13,87.1,0.0,114.01,135.04999999999998,112.73,6.0,0.0,19.5,55.56,100.62,0.0
14020.0,0.0,12.0,180.69,31.5,0.0,12.0,157.59,201.3,238.7,55.51,54.0,291.04,231.22,156.13,66.01,13.5,186.20999999999998,201.11,163.65,12.0,0.0,67.50999999999999,121.51,99.02,0.0
14040.0,0.0,55.5,330.91,76.5,0.0,28.5,208.53,283.70000000000005,178.52999999999997,93.02,91.51,381.25,202.64999999999998,265.01,79.51,28.5,313.66,208.54999999999998,237.15,54.0,0.0,108.03,178.63,108.02000000000001,0.0
14060.0,0.0,57.01,353.18,13.5,0.0,6.0,135.10999999999999,159.12,142.6,25.5,43.6,150.07,201.04000000000002,178.03,18.0,39.67,123.07,108.02,118.69999999999999,27.01,0.0,33.0,114.7,43.52,0.0
14080.0,0.0,64.50999999999999,375.64,13.5,0.0,6.0,97.50999999999999,232.62000000000003,180.03,33.0,6.0,313.73,246.04,170.25,78.11000000000001,54.57,138.01,159.13,133.51999999999998,55.5,0.0,40.52,63.01,57.01,0.0
14100.0,0.0,12.0,210.65,12.0,0.0,28.51,90.02000000000001,267.07,156.15,12.0,25.52,394.68,312.22999999999996,142.78,27.0,73.5,185.95,103.50999999999999,82.63000000000001,0.0,0.0,72.1,73.55,21.0,0.0
14120.0,0.0,69.03,315.68,55.5,0.0,61.51,141.01999999999998,156.01,171.01,75.06,66.0,439.64,373.74,238.74,48.01,96.0,240.14999999999998,246.13,111.11,12.0,0.0,111.01,111.02,34.519999999999996,0.0
14140.0,0.0,33.61,282.04,6.0,0.0,12.0,74.62,115.78,82.65,55.620000000000005,26.11,354.44,186.39,168.14,6.0,21.01,133.73,85.67,91.66,13.5,0.0,130.51,147.03,34.5,0.0
14160.0,0.0,87.59,304.56,18.0,0.0,34.5,125.47999999999999,121.61000000000001,105.00999999999999,55.51,48.0,277.76,297.28,268.67,19.5,103.62,159.03,114.02,129.11,19.5,0.0,40.5,167.15,78.02000000000001,0.0
14180.0,0.0,78.02,21.03,0.0,0.0,18.0,111.04,93.02000000000001,99.22,93.02,31.54,423.11,340.88,189.17000000000002,28.51,84.05000000000001,165.09,235.62,150.01999999999998,6.0,0.0,6.0,103.62,79.51,0.0
14200.0,0.0,48.0,153.06,67.53,0.0,76.57,141.01,61.5,141.05,33.0,81.0,402.16,433.87,276.25,75.02000000000001,84.00999999999999,201.14999999999998,103.5,63.01,24.0,0.0,91.53999999999999,138.07999999999998,18.0,0.0
